mr,ref
"request(genres[action-adventure], specifier[easy])",Can you recommend an easy action-adventure game?
"request(genres[action-adventure], specifier[easy])",Do you know of any action-adventure games that are nice and easy?
"request(release_year[2018], specifier[long])",What's a long game you played that came out in 2018?
"request(release_year[2018], specifier[long])",Do you know any long games from 2018 I could invest a lot of time into?
"request(platforms[PlayStation], specifier[stunning])",What's a game you've played for the PlayStation that you thought was stunning?
"request(platforms[PlayStation], specifier[stunning])",What stunning games are available on PlayStation?
"request(developer[Hazelight Studios], specifier[classic])",Did Hazelight Studios make any classic games?
"request(developer[Hazelight Studios], specifier[classic])",What do you think is the most classic game made by Hazelight Studios?
"request(player_perspective[third person], specifier[smart])",Have you played any smart third person games lately?
"request(player_perspective[third person], specifier[smart])",Can you recommend any smart third person games?
"request(developer[Rockstar North], specifier[offensive])",Has Rockstar North made anything offensive lately?
"request(developer[Rockstar North], specifier[offensive])",Has Rockstar North ever made a game you felt was offensive?
"request(esrb[M (for Mature)], specifier[gritty])",What's your favorite gritty rated M game?
"request(esrb[M (for Mature)], specifier[gritty])","Is there any gritty, M rated game that you enjoyed lately?"
"request(platforms[Xbox], specifier[easiest])",What do you think is the easiest game available for the Xbox?
"request(platforms[Xbox], specifier[easiest])",What's the easiest game you know of on Xbox?
"request(player_perspective[first person], specifier[oldest])",What's the oldest first person game you know of?
"request(player_perspective[first person], specifier[oldest])",What's the oldest game with a first person perspective that you ever played?
"request(release_year[2013], specifier[longest])",Do you know which game had the longest story mode in 2013?
"request(release_year[2013], specifier[longest])",What's the longest game from 2013?
"request(developer[Nintendo EAD], specifier[classic])",Do you know of any games developed by Nintendo EAD that you would consider to be a classic?
"request(developer[Nintendo EAD], specifier[classic])",Do you know any classic games I should play from Nintendo EAD?
"request(has_multiplayer[yes], specifier[interesting])",Do you know any interesting multiplayer games I could try out?
"request(has_multiplayer[yes], specifier[interesting])",Do you know of any interesting games with multiplayer?
"request(release_year[1990], specifier[challenging])","In terms of challenging games, have you played any like that which came out in 1990?"
"request(release_year[1990], specifier[challenging])",Are there any challenging games from 1990?
"request(player_perspective[side view], specifier[easy])",Do you know any easy side view games I can play with my family?
"request(player_perspective[side view], specifier[easy])",What's a nice and easy game with a side view perspective that you've played?
"request(genres[platformer], specifier[elaborate])",Are you aware of any platformers that are particularly elaborate?
"request(genres[platformer], specifier[elaborate])",What's an elaborate platformer I could play?
"request(platforms[PC], specifier[immersive])",Are there any really immersive PC games you could recommend?
"request(platforms[PC], specifier[immersive])",What's a game for the PC that you think is immersive?
"request(release_year[2014], specifier[terrible])",Were there even any terrible games in 2014?
"request(release_year[2014], specifier[terrible])",What's a truly terrible game released in 2014 that you know of?
"request(genres[adventure, indie], specifier[short])",Have you played any indie adventure games that were short to play through?
"request(genres[adventure, indie], specifier[short])",Do you know any short indie adventure games I could pick up?
"request(has_multiplayer[no], specifier[epic])",What's the most epic single-player game that you played recently?
"request(has_multiplayer[no], specifier[epic])",What's one epic single-player game you can think of?
"request(has_linux_release[no], specifier[cheap])",Have you played any cheap games lately that don't have a Linux release?
"request(has_linux_release[no], specifier[cheap])",Do you know any cheap games that aren't on Linux?
"request(developer[Bloober Team], specifier[silliest])",What do you think is the silliest game ever made by Bloober Team?
"request(developer[Bloober Team], specifier[silliest])",What's the silliest game that Bloober Team has made?
"request(platforms[PC], specifier[expensive])",What's the most expensive game for the PC that you know of?
"request(platforms[PC], specifier[expensive])",What's the most expensive PC game you know of?
"request(genres[adventure, indie, point-and-click], specifier[shortest])",What's the shortest indie point and click adventure game you know of?
