mr,ref
"request_explanation(rating[good], platforms[PlayStation])",What is it about the games on PlayStation that you find fun?
"request_explanation(rating[good], platforms[PlayStation])",What is it you like about games on PlayStation?
"request_explanation(rating[good], genres[adventure, platformer, puzzle])","I'm curious, what is it about adventure puzzle platformers that you enjoy?"
"request_explanation(rating[good], genres[adventure, platformer, puzzle])",What is it about adventure platformers with puzzles that you find so enjoyable?
"request_explanation(rating[good], player_perspective[side view])",Why do you find side view games so enjoyable?
"request_explanation(rating[good], player_perspective[side view])",What is it about the side view perspective in games that makes them fun for you?
"request_explanation(rating[good], has_multiplayer[no])",Why do you enjoy single-player games so much?
"request_explanation(rating[good], has_multiplayer[no])","I'm wondering something, why is it that if a game doesn't have a multiplayer option, you tend to enjoy it?"
"request_explanation(developer[Tarsier Studios], rating[good])","I'm wondering, why do you enjoy the games made by Tarsier Studios?"
"request_explanation(developer[Tarsier Studios], rating[good])",What do you enjoy about Tarsier Studios' games?
"request_explanation(rating[poor], platforms[Xbox])",What is it about games released for the Xbox that makes you hate them?
"request_explanation(rating[poor], platforms[Xbox])",What about the Xbox do you find so unappealing?
"request_explanation(rating[poor], player_perspective[first person])","So I've been wondering, why do you dislike first person games so much?"
"request_explanation(rating[poor], player_perspective[first person])",What do you find so unenjoyable about first person games?
"request_explanation(rating[poor], has_multiplayer[no])",Is there something about multiplayer that puts you off?
"request_explanation(rating[poor], has_multiplayer[no])","If you don't mind me asking, why is it if a game doesn't have multiplayer you just don't like it at all?"
"request_explanation(esrb[M (for Mature)], rating[poor])",Why is it if a game has an M rating you tend to dislike it?
"request_explanation(esrb[M (for Mature)], rating[poor])",What do you dislike about M rated games?
"request_explanation(developer[Bloober Team], rating[poor])",Just what is it about the games made by Bloober Team that you find so unpleasant?
"request_explanation(developer[Bloober Team], rating[poor])",Why do you think Bloober Team makes such poor games?
"request_explanation(rating[poor], platforms[PC])",Why do you dislike PC games?
"request_explanation(rating[poor], platforms[PC])","I wonder if you can explain something to me, why is it that you can't stand games that are on the PC?"
"request_explanation(rating[poor], has_multiplayer[yes])",What is it about multiplayer games that disappoint you so much?
"request_explanation(rating[poor], has_multiplayer[yes])",Why do you feel so negatively about games with multiplayer?
"request_explanation(developer[Days of Wonder], rating[poor])",What is it about the developer Days of Wonder's games you dislike so much?
"request_explanation(developer[Days of Wonder], rating[poor])",So just what is it about the games made by Days of Wonder that you find so terrible?
"request_explanation(rating[poor], genres[indie, trivia/board game])",What is it about indie games in the trivia/board game genre that you find so distasteful?
"request_explanation(rating[poor], genres[indie, trivia/board game])",Why do you dislike indie trivia board games?
"request_explanation(rating[poor], has_mac_release[yes])",What is it about Mac games that you find so disappointing?
"request_explanation(rating[poor], has_mac_release[yes])",What is it about games that have a Mac release that makes you hate them?
