name,release_year,exp_release_date,developer,esrb,rating,genres,player_perspective,has_multiplayer,platforms,available_on_steam,has_linux_release,has_mac_release,utterance
,,,,,good,,,,PlayStation,,,,Why do you like PlayStation games better compared to games on other platforms?
,,,,,good,"adventure, platformer, puzzle",,,,,,,What is it you find interesting about adventure platformers with puzzles?
,,,,,good,,side view,,,,,,Why is it that you enjoy games with a side view perspective?
,,,,,good,,,no,,,,,What is that you find fun about single-player games?
,,,Tarsier Studios,,good,,,,,,,,So what makes games by Tarsier Studios stand out from the other developers?
,,,,,poor,,,,Xbox,,,,So why is it you hate Xbox games so much?
,,,,,poor,,first person,,,,,,What is it about first person perspective games that makes you dislike them the way you do?
,,,,,poor,,,no,,,,,Why don't you ever enjoy games without multiplayer?
,,,,M (for Mature),poor,,,,,,,,What is it about M-rated games that you find so off-putting?
,,,Bloober Team,,poor,,,,,,,,What is it about Bloober Team games that makes you find them boring and frustrating?
,,,,,poor,,,,PC,,,,What is it about PC games that makes you find them so unpleasant?
,,,,,poor,,,yes,,,,,Why don't you ever enjoy multiplayer games?
,,,Days of Wonder,,poor,,,,,,,,What is it about games made by Days of Wonder that makes you unable to stand them?
,,,,,poor,"indie, trivia/board game",,,,,,,Why don't you ever enjoy indie trivia/board games?
,,,,,poor,,,,,,,yes,"If a game has a Mac release you always find the game boring and unpleasant, why is that?"
,,,,,good,"action-adventure, platformer",,,,,,,So what is it about action-adventure platformers that makes you enjoy them?
,,,Ubisoft Montreal,,good,,,,,,,,"You've mentioned finding games by Ubisoft Montreal to be pretty good, why is that?"
,,,,,good,,,,,yes,,,What is it about Steam games that you find to be good?
,,,,,good,,third person,,,,,,"I know you enjoy third person games, what is it about that perspective that you like?"
,,,,,good,,,no,,,,,"You seem to enjoy single-player only games a fair amount, what is it you like about them?"
,,,,,average,,,,PlayStation,,,,So what is it about PlayStation games that causes you to find them so average?
,,,,,average,,third person,,,,,,"You've mentioned you find third person perspective games to be just okay, why is that?"
,,,,,average,,,yes,,,,,Can you explain to me why you find multiplayer games to be neither good nor bad?
,,,Attention To Detail,,average,,,,,,,,"You've said you find games developed by Attention To Detail to be okay but not great, what is it about them that makes you say that?"
,1999,,,,average,,,,,,,,What is it about games released in 1999 that makes you feel so-so about them all?
,,,,,good,,,,,yes,,,Why do you feel Steam games are pretty good?
,,,,,good,"adventure, point-and-click",,,,,,,What is it about point and click adventure games that makes you enjoy them?
,,,,,good,,,,,,,yes,So what is it about games with Mac releases that makes you like them like you do?
,,,Telltale Games,,good,,,,,,,,Can you please explain to me a bit more about why you enjoy games developed by Telltale Games?
,,,,,good,,third person,,,,,,What is it about a third person perspective in video games that makes you like them?
,,,Visual Concepts,,good,,,,,,,,"I know you tend to enjoy games made by Visual Concepts, why is that?"
,,,,,good,,,,PC,,,,What is it about PC games that makes you enjoy them like you do?
,,,,,good,sport,,,,,,,Why do you always seem to have fun when you play sports games?
,,,,,good,,third person,,,,,,"You seem to gravitate to and enjoy games with a third person perspective, what's the reason for that?"
,,,,,good,,,yes,,,,,"You like multiplayer games quite a bit, can you tell me why that is?"
,,,,,excellent,shooter,,,,,,,"You absolutely love shooter games, what is it about that genre that you find so thrilling?"
,2004,,,,excellent,,,,,,,,"You often mention 2004 as the best year for games, what was it about the games released that year that makes you love them so much?"
,,,,,excellent,,,,PC,,,,Why do you love PC games more than any others?
,,,,,excellent,,,,,,,yes,"You're always super excited when you learn a game has a Mac release, why do you love Mac games so much?"
,,,Valve Corporation,,excellent,,,,,,,,What is it about games developed by Valve Corporation that makes you feel they're so awesome?
,,,SIE Santa Monica Studio,,excellent,,,,,,,,"Hey, what it is about games developed by SIE Santa Monica Studio that makes you love them so much?"
,,,,M (for Mature),excellent,,,,,,,,Why do you always love M rated games so much more than games with other ratings?
,2018,,,,excellent,,,,,,,,"You said 2018 is one of your favorite years for video games of all time, why is that?"
,,,,,excellent,,third person,,,,,,What is it about games with a third person perspective that makes you find them so excellent
,,,,,excellent,"action-adventure, platformer, role-playing",,,,,,,What is it about action-adventure RPG platformers that you find so amazingly appealing?
,,,,,excellent,,,,Nintendo,,,,What is it about Nintendo games that makes you rave about how awesome they are?
,,,,,excellent,"action-adventure, shooter",,,,,,,Why is it that action-adventure shooters are always your favorite games?
,2005,,,,excellent,,,,,,,,What is it about games released in 2005 that makes you say it's such a good year for video games?
,,,Capcom Production Studio 4,,excellent,,,,,,,,Why is Capcom Production Studio 4 the developer whose games you love more than anyone's?
,,,,M (for Mature),excellent,,,,,,,,"You always praise M-rated games, what's the reason for that?"
